name,age,lifestyle,zip code,family status,car,sports,earnings,living area,label
MzYT0UQu,66.0,cozily,86689.0,married,practical,badminton,31668.0,rural,response
stD2jLWW,68.0,cozily,85629.0,married,practical,athletics,60949.0,urban,response
XcxgayS0,59.0,cozily,72072.0,single,expensive,athletics,80245.0,urban,no response
LUiKqsuT,54.0,healthy,76910.0,married,expensive,soccer,37506.0,rural,no response
fA791Y1x,44.0,healthy,31688.0,single,expensive,,86851.0,rural,no response
WVAB6LXa,51.0,active,35146.0,married,practical,athletics,115293.0,rural,no response
vM2QcGim,61.0,healthy,85445.0,single,practical,soccer,86054.0,urban,response
vVxcKUEm,67.0,active,28692.0,single,practical,soccer,32560.0,rural,response
xPYI7zEg,16.0,active,76640.0,married,expensive,soccer,55524.0,urban,no response
Qwy8ZSi1,16.0,active,20610.0,married,practical,athletics,50492.0,urban,response
FvM7sRv5,20.0,active,56811.0,married,practical,badminton,20604.0,urban,response
niBIzqvb,33.0,healthy,61303.0,married,practical,athletics,47944.0,rural,no response
BpucccAj,27.0,cozily,79313.0,single,expensive,athletics,34995.0,rural,no response
hRp17vnb,24.0,healthy,77730.0,single,expensive,soccer,77670.0,urban,response
yj9EsZWj,69.0,healthy,37400.0,married,practical,soccer,92079.0,urban,response
ZGiDP0Er,30.0,cozily,53185.0,married,expensive,athletics,60548.0,urban,no response
5mqco3XF,27.0,active,76956.0,single,expensive,athletics,26328.0,rural,no response
dTHuA29C,49.0,active,58250.0,single,expensive,soccer,32693.0,rural,no response
Yjkl1Ty3,16.0,cozily,55530.0,married,practical,soccer,149335.0,rural,response
sLNsHHcT,43.0,cozily,63343.0,single,expensive,athletics,24688.0,rural,no response
kWInSae2,31.0,active,30377.0,married,expensive,athletics,99055.0,urban,no response
bNnPEISc,55.0,healthy,73877.0,single,expensive,athletics,125616.0,urban,no response
KCEpk8XI,57.0,cozily,10875.0,married,practical,badminton,146961.0,urban,response
dXabs1sQ,21.0,healthy,64553.0,single,practical,soccer,80457.0,urban,no response
RhNVROnz,30.0,cozily,79870.0,single,expensive,athletics,90866.0,urban,no response
h8JH7n9W,16.0,healthy,76571.0,married,practical,badminton,60632.0,rural,no response
Z8NeYAUr,35.0,healthy,35898.0,single,practical,soccer,141347.0,urban,response
JGE4W6aT,53.0,healthy,98897.0,single,practical,badminton,76635.0,rural,no response
hbI3Oz5G,38.0,healthy,65674.0,single,practical,soccer,113611.0,urban,no response
idWANv5b,47.0,active,88664.0,married,expensive,athletics,65625.0,urban,no response
MX2PmAg1,43.0,cozily,59070.0,married,expensive,,141106.0,urban,response
olKl8ca1,23.0,active,47311.0,married,practical,athletics,40608.0,rural,no response
1d1QkXI8,36.0,cozily,53383.0,single,expensive,athletics,149371.0,rural,response
ZRjVdLr9,57.0,active,98446.0,married,expensive,athletics,125016.0,rural,response
nDVB82WA,34.0,active,82317.0,single,expensive,,135749.0,rural,no response
ewIsUbDF,50.0,active,59902.0,single,expensive,,144545.0,rural,response
LQ02Q640,28.0,cozily,80935.0,married,practical,soccer,109916.0,urban,response
npivuqjT,46.0,cozily,62104.0,married,practical,badminton,48690.0,rural,no response
Lim4wmC8,43.0,healthy,17441.0,married,practical,athletics,47162.0,rural,no response
FsdoBsTV,46.0,active,58215.0,married,practical,soccer,93354.0,urban,no response
QchrLC5q,25.0,active,97213.0,married,expensive,soccer,40076.0,rural,no response
tc6txQSQ,67.0,cozily,15370.0,single,expensive,,124809.0,rural,response
RINZQ6DX,21.0,active,33231.0,married,practical,soccer,76876.0,urban,no response
3NquLfXN,61.0,active,99554.0,single,practical,badminton,65005.0,rural,response
g9IgbAjm,35.0,active,15002.0,married,practical,athletics,148310.0,urban,response
kt3pwk4q,56.0,active,27849.0,married,expensive,,121091.0,rural,no response
3UVSoSIy,31.0,active,40257.0,single,practical,soccer,29692.0,rural,no response
j0eTu209,27.0,cozily,22132.0,married,expensive,,146527.0,urban,response
1kLwPVOs,17.0,cozily,75587.0,single,expensive,soccer,124502.0,rural,no response
QnSTGKiN,24.0,healthy,93920.0,single,expensive,soccer,66142.0,rural,no response
0cphf9Vx,19.0,active,10246.0,single,expensive,soccer,73525.0,rural,response
1oupt5eN,37.0,healthy,88048.0,married,practical,athletics,72318.0,urban,no response
UOznhlU1,60.0,healthy,70658.0,married,expensive,,120778.0,rural,response
8zYGk0Xn,62.0,active,64030.0,married,practical,soccer,77130.0,urban,no response
sDjL5PdL,59.0,cozily,91079.0,single,expensive,,59670.0,rural,response
zZkiEtL6,46.0,healthy,64789.0,married,expensive,athletics,97758.0,rural,no response
Z3m2dTzd,35.0,cozily,55359.0,single,expensive,athletics,77189.0,urban,no response
jXSOGoJb,27.0,cozily,31777.0,single,expensive,,29220.0,urban,no response
fzaohBZH,52.0,healthy,10685.0,married,expensive,soccer,130660.0,rural,response
7YP8avIy,44.0,active,11454.0,married,practical,soccer,108923.0,rural,response
RVmXL3Li,42.0,active,98352.0,married,practical,,28956.0,rural,no response
4VTECUqg,36.0,cozily,43081.0,single,practical,athletics,30367.0,urban,no response
YVFAbqKe,66.0,healthy,53273.0,single,practical,,32622.0,urban,response
COZcWwNq,41.0,healthy,87654.0,married,practical,,64434.0,urban,no response
NLzuLxI0,17.0,healthy,16505.0,married,practical,badminton,60330.0,urban,no response
HpIbWYrE,43.0,cozily,95082.0,married,practical,athletics,38593.0,urban,no response
dqBrnKVb,49.0,active,56796.0,single,practical,soccer,102523.0,urban,no response
sZioyspX,30.0,cozily,43051.0,married,practical,athletics,46899.0,urban,no response
GgWTcEhn,17.0,active,37128.0,single,practical,athletics,72945.0,urban,response
eZHCAEVM,66.0,active,30986.0,married,practical,athletics,133074.0,urban,response
3Gnkm6ZO,24.0,healthy,41721.0,married,practical,athletics,108721.0,urban,no response
hqoByCLE,20.0,cozily,36773.0,married,expensive,athletics,84842.0,urban,no response
ASpRMxey,45.0,cozily,13705.0,married,expensive,athletics,91291.0,urban,response
TcqJOwK6,41.0,active,14651.0,married,expensive,soccer,56143.0,rural,response
K7GBlFO2,42.0,healthy,42214.0,single,expensive,athletics,29581.0,rural,no response
vBQ0wTRp,65.0,active,41279.0,single,practical,badminton,67765.0,rural,response
tMKisFg0,28.0,cozily,96857.0,married,expensive,soccer,101874.0,urban,no response
QkE1EXUx,39.0,cozily,51159.0,single,expensive,,109136.0,urban,no response
l6rYtSOQ,19.0,healthy,99182.0,married,expensive,soccer,143546.0,urban,response
UuPOJRma,18.0,active,45527.0,single,expensive,soccer,149809.0,urban,response
Y8nigDHy,67.0,cozily,79635.0,single,practical,athletics,77583.0,urban,response
wKKJ0vIl,45.0,cozily,93331.0,married,expensive,badminton,84301.0,urban,no response
L2stypTa,64.0,cozily,43001.0,single,practical,athletics,60618.0,urban,no response
rM6f0Wvf,35.0,healthy,11940.0,married,expensive,soccer,125419.0,rural,response
QbIgdHhG,66.0,active,10591.0,single,expensive,badminton,28406.0,rural,response
Ed9DtElK,42.0,active,24430.0,married,practical,badminton,131904.0,urban,no response
i5nmAVj4,43.0,active,37243.0,married,practical,,130405.0,urban,no response
arVgNNAW,54.0,healthy,77409.0,single,practical,athletics,20832.0,urban,no response
PjytxIgQ,20.0,cozily,60981.0,married,practical,badminton,45974.0,urban,no response
S2LHgJ62,21.0,cozily,61865.0,married,practical,soccer,83402.0,rural,no response
KPrrctk2,16.0,active,93100.0,married,practical,badminton,111256.0,urban,no response
d4UxrQhM,63.0,healthy,87215.0,single,practical,athletics,39121.0,urban,response
273ww5t0,32.0,active,53604.0,single,expensive,soccer,66720.0,urban,no response
cWHkNex7,45.0,active,93320.0,single,practical,soccer,96099.0,rural,no response
MiFCRpRJ,42.0,active,24618.0,single,expensive,soccer,43308.0,rural,no response
ekrlrahi,67.0,cozily,70173.0,married,expensive,,114732.0,urban,response
enGjI27s,45.0,cozily,77954.0,single,practical,badminton,46615.0,rural,no response
iqX0zFPd,69.0,healthy,83269.0,single,expensive,athletics,87810.0,urban,response
5xQWP7v4,23.0,active,21580.0,married,practical,athletics,114741.0,rural,no response
Pnoj3Ps9,50.0,active,89503.0,married,practical,soccer,59293.0,rural,no response
i4UfC7mj,69.0,cozily,60351.0,married,expensive,athletics,92938.0,urban,response
A9BLlzmW,49.0,active,25102.0,married,practical,soccer,121728.0,urban,no response
riE0925e,23.0,healthy,54798.0,single,practical,,88450.0,rural,no response
fWCXldV0,61.0,healthy,42208.0,single,expensive,badminton,103518.0,rural,response
6ZSUMdhS,42.0,active,19799.0,married,practical,badminton,70656.0,rural,no response
JeCKj4zK,22.0,healthy,92513.0,married,practical,athletics,107623.0,urban,no response
dKy7yAsZ,40.0,healthy,34336.0,single,expensive,soccer,28927.0,urban,no response
1is4KCIA,56.0,active,62158.0,married,expensive,,135959.0,rural,response
FuVSitCY,30.0,healthy,19728.0,married,expensive,athletics,57473.0,rural,no response
YU3LDay5,31.0,active,21515.0,single,expensive,athletics,69189.0,urban,no response
30LBe4rl,30.0,active,25866.0,married,expensive,athletics,100624.0,urban,no response
KfNlcrW4,37.0,active,16059.0,married,expensive,athletics,99343.0,urban,no response
nJx4mBVo,40.0,cozily,81643.0,married,expensive,,132506.0,rural,no response
S5FPwMl5,30.0,active,58190.0,married,practical,soccer,120294.0,urban,no response
sQhM8WQT,61.0,healthy,25739.0,single,practical,soccer,43450.0,urban,response
Ao0RI5TV,27.0,healthy,59802.0,single,expensive,athletics,77260.0,urban,no response
vq8zpuhr,24.0,active,41036.0,married,expensive,badminton,130994.0,rural,no response
0FDiWKNV,64.0,cozily,90988.0,single,expensive,soccer,33649.0,rural,response
h1MuNe09,43.0,cozily,36818.0,married,expensive,badminton,89340.0,rural,no response
a5N07ozO,37.0,healthy,41663.0,married,expensive,athletics,56128.0,urban,no response
GBU3qEZe,65.0,cozily,30199.0,single,expensive,athletics,47182.0,urban,response
1tJFwkkI,57.0,cozily,37416.0,single,expensive,,140468.0,urban,response
1n1dISrP,65.0,active,25706.0,married,practical,athletics,62001.0,urban,response
QZA5yqEX,47.0,active,47944.0,married,expensive,soccer,29867.0,rural,no response
UnRW1eIc,48.0,active,62741.0,married,practical,,87365.0,urban,no response
E0f88MUz,49.0,healthy,27502.0,married,practical,athletics,30777.0,urban,no response
HppKWUf8,49.0,cozily,94791.0,married,expensive,badminton,54975.0,urban,no response
34vN3ogk,61.0,active,45774.0,single,expensive,badminton,30018.0,urban,response
qOaolruf,35.0,cozily,82423.0,single,practical,soccer,66330.0,urban,no response
Tb7Juu5A,22.0,active,95873.0,married,practical,badminton,91423.0,urban,no response
9zh6hajd,59.0,healthy,74243.0,single,expensive,soccer,113662.0,urban,response
WEAsLDKb,17.0,active,60862.0,married,expensive,athletics,149552.0,rural,response
KX5OMxwM,55.0,active,53199.0,single,practical,soccer,67874.0,urban,no response
MJQLSCj4,45.0,healthy,61952.0,single,practical,badminton,71735.0,urban,response
ZAkPUI55,16.0,active,15470.0,single,expensive,athletics,20508.0,rural,no response
cOezXCWx,54.0,healthy,20509.0,married,expensive,badminton,124165.0,rural,no response
SlBQ2PyC,38.0,healthy,92385.0,single,expensive,athletics,101225.0,rural,no response
R3JACCjb,28.0,healthy,25374.0,married,practical,soccer,125760.0,rural,no response
NUHR79QK,17.0,healthy,70269.0,single,practical,badminton,59356.0,rural,no response
uuX0knpz,40.0,active,54220.0,married,practical,,144941.0,rural,response
zbJSIinX,36.0,healthy,87994.0,single,practical,athletics,67654.0,urban,no response
yWPGGGmg,51.0,cozily,90757.0,married,expensive,soccer,41504.0,urban,no response
kCnjP7QI,41.0,cozily,75848.0,married,expensive,,136839.0,urban,no response
pkm22x6d,28.0,active,32727.0,married,practical,badminton,142791.0,urban,response
5D5FPKjN,39.0,healthy,66666.0,married,practical,soccer,60849.0,urban,no response
yo233Tet,54.0,healthy,20172.0,single,practical,athletics,74653.0,urban,no response
Fpmu5QRd,42.0,active,35598.0,married,expensive,,21952.0,urban,no response
Og1QZZtA,54.0,healthy,34543.0,single,practical,,74871.0,urban,no response
yHOtHkPE,24.0,cozily,23000.0,single,practical,badminton,127607.0,rural,no response
aNx1urLy,43.0,cozily,67960.0,single,expensive,athletics,123523.0,rural,no response
AlWLZNNy,24.0,healthy,45640.0,single,expensive,soccer,127923.0,rural,no response
Titkywlw,22.0,cozily,92131.0,married,expensive,soccer,131460.0,rural,no response
AqiSVf3M,29.0,cozily,44907.0,married,practical,soccer,58028.0,urban,no response
JAsarCfy,17.0,healthy,16494.0,married,expensive,athletics,124011.0,urban,no response
F92ipBIE,40.0,healthy,66449.0,single,practical,athletics,147350.0,rural,response
tb3MsI5q,15.0,healthy,29734.0,married,practical,athletics,44627.0,rural,no response
CvEeTBOy,15.0,healthy,40126.0,married,practical,,131415.0,urban,no response
EmyTRpUJ,20.0,cozily,79890.0,married,expensive,athletics,59059.0,urban,no response
JbOv5RpQ,51.0,active,88540.0,married,expensive,soccer,57813.0,rural,no response
sLS3LP0x,24.0,active,98162.0,single,practical,soccer,47708.0,urban,no response
oahHP9M0,24.0,cozily,24008.0,single,practical,athletics,80559.0,urban,no response
UMOeUxHp,17.0,healthy,34082.0,single,practical,soccer,117938.0,urban,no response
dl9xGNMt,34.0,cozily,90268.0,married,expensive,badminton,119518.0,urban,no response
RFH5myw0,42.0,active,69390.0,married,practical,,69135.0,rural,no response
zmFQLxt2,16.0,active,35920.0,married,expensive,soccer,100588.0,rural,no response
TbLWBmUU,69.0,active,13286.0,married,expensive,soccer,42127.0,rural,response
J4y8A4xt,51.0,cozily,76872.0,single,practical,badminton,125140.0,urban,no response
E05FuJCz,54.0,active,78257.0,single,expensive,badminton,68121.0,urban,no response
twEwPLux,22.0,active,43112.0,single,practical,badminton,31347.0,rural,no response
02O08suQ,63.0,healthy,90052.0,married,practical,badminton,27722.0,urban,no response
xFuuZDbm,23.0,healthy,79239.0,married,practical,,58863.0,urban,no response
GLzGXlZl,37.0,cozily,89682.0,single,expensive,,43391.0,rural,no response
nDOtebAy,60.0,cozily,39148.0,married,practical,,83967.0,rural,response
BigiaVHU,17.0,cozily,48328.0,married,expensive,athletics,138623.0,rural,no response
OJIbMpif,15.0,active,47947.0,married,expensive,athletics,78094.0,urban,no response
xAtlgQgp,63.0,healthy,77613.0,single,practical,badminton,125353.0,rural,response
UARevKVC,63.0,cozily,11645.0,married,expensive,athletics,109053.0,urban,response
Yl37fXla,40.0,cozily,99484.0,married,practical,athletics,33965.0,rural,no response
mpvRe2gB,62.0,active,57302.0,married,practical,,96719.0,urban,no response
rTQRDVHV,53.0,cozily,54001.0,married,expensive,athletics,42563.0,urban,no response
EFW2wPUd,23.0,active,46091.0,single,expensive,badminton,87930.0,urban,no response
blgRsgOo,44.0,healthy,19235.0,married,expensive,athletics,34438.0,urban,no response
tiGUCYEZ,56.0,active,53719.0,married,expensive,athletics,130857.0,urban,response
6cIUttLG,28.0,cozily,87261.0,married,expensive,,130624.0,urban,no response
dOuu6wHk,17.0,cozily,75701.0,married,expensive,soccer,81520.0,rural,no response
mMtbaGOC,28.0,active,18022.0,married,practical,badminton,27646.0,urban,no response
NBUJJYLG,43.0,active,77257.0,married,practical,athletics,140901.0,urban,response
Q7FOWtbx,69.0,healthy,30748.0,single,expensive,athletics,37805.0,urban,response
xHL28m77,59.0,healthy,55284.0,married,practical,,147055.0,urban,response
SnQ3Wx7a,43.0,healthy,88980.0,single,practical,soccer,75037.0,urban,no response
occBvfs4,34.0,cozily,11018.0,married,practical,athletics,29496.0,urban,response
knDJdmUP,31.0,cozily,76266.0,single,practical,soccer,64364.0,urban,no response
uj9WgGxI,36.0,cozily,27823.0,single,practical,soccer,111556.0,rural,no response
XGJaTNZu,40.0,healthy,94808.0,married,practical,athletics,122696.0,urban,no response
XlZIKH9H,56.0,healthy,76681.0,single,practical,badminton,60422.0,urban,response
be4VJqF2,37.0,healthy,65815.0,married,expensive,,37982.0,urban,no response
2VK7kRiZ,32.0,healthy,21949.0,single,practical,athletics,49800.0,rural,no response
GjMgu5Nj,45.0,healthy,87672.0,married,practical,soccer,108270.0,urban,no response
i4CT2swV,69.0,healthy,71283.0,single,practical,badminton,92094.0,rural,response
ujkwEAHy,37.0,active,36068.0,single,expensive,,85153.0,urban,no response
vnxLwDyy,22.0,healthy,75929.0,married,expensive,athletics,135750.0,urban,no response
PPEpH5d4,37.0,active,15274.0,married,practical,soccer,92958.0,urban,no response
PYzouZPE,22.0,healthy,66608.0,married,expensive,soccer,67984.0,urban,no response
cvo1raHz,45.0,cozily,11096.0,married,expensive,soccer,29223.0,urban,response
snA828ba,39.0,active,43521.0,single,expensive,badminton,95979.0,rural,no response
W6eXrmEl,25.0,active,73679.0,married,expensive,,95463.0,urban,no response
K43wSojm,36.0,healthy,68120.0,married,practical,badminton,85490.0,rural,no response
X9LfR5F1,46.0,healthy,74775.0,single,practical,soccer,81395.0,urban,no response
pE3VYMQi,20.0,healthy,55663.0,married,practical,,57551.0,urban,no response
JHXleQhH,30.0,cozily,48487.0,married,expensive,athletics,22877.0,urban,no response
s45lcuGD,50.0,cozily,60386.0,single,practical,athletics,129856.0,urban,no response
8ZUbloFH,22.0,active,82484.0,single,practical,badminton,84565.0,urban,no response
GwtXk5RP,46.0,healthy,14393.0,married,expensive,badminton,94171.0,urban,no response
CozzBkkQ,38.0,cozily,30926.0,single,practical,soccer,103864.0,urban,no response
lnb7eVZM,19.0,cozily,27757.0,married,practical,badminton,51171.0,rural,no response
UZxSn7lh,69.0,healthy,45294.0,married,practical,badminton,115754.0,urban,response
KhcC14sY,41.0,active,60815.0,single,practical,soccer,63810.0,urban,no response
GJe5pGDD,53.0,healthy,69927.0,single,expensive,athletics,21814.0,urban,no response
JkIwiyCM,24.0,active,60877.0,single,expensive,badminton,143486.0,urban,response
vZcTa19Z,60.0,active,27174.0,married,practical,badminton,137080.0,urban,no response
JF84BXYn,16.0,active,36209.0,married,practical,soccer,129086.0,rural,no response
HRaQBkKI,55.0,active,24677.0,married,expensive,athletics,47464.0,rural,no response
r4VY4mFV,58.0,cozily,33500.0,single,practical,,23168.0,rural,response
DhYiCMRg,62.0,cozily,35069.0,married,practical,badminton,32535.0,urban,response
AeyoWDEN,69.0,healthy,37703.0,married,practical,,70106.0,rural,response
YbuthpjR,17.0,healthy,55945.0,single,expensive,badminton,129216.0,urban,no response
aJKK6tim,69.0,healthy,60497.0,single,expensive,athletics,124990.0,urban,response
N0eNrPgP,50.0,active,68326.0,single,expensive,soccer,33684.0,urban,no response
qGFrHmtT,49.0,active,92896.0,married,practical,athletics,55276.0,urban,no response
XWHnkyL4,59.0,active,59634.0,single,expensive,badminton,56872.0,urban,response
a5k7VN8P,47.0,cozily,84952.0,single,expensive,athletics,99958.0,urban,no response
Jbyz0ICI,27.0,active,73045.0,married,practical,athletics,138876.0,urban,no response
ypzCl2mi,39.0,active,38488.0,single,practical,badminton,131862.0,rural,no response
L636oyq9,66.0,cozily,37568.0,married,practical,athletics,35934.0,urban,response
Gq52Yb0I,31.0,active,62677.0,married,practical,athletics,134906.0,urban,no response
2f3zn2xf,49.0,cozily,39478.0,married,expensive,badminton,90815.0,urban,no response
CEZTFJPe,21.0,cozily,30242.0,single,expensive,athletics,54028.0,urban,no response
EaUU1zeW,45.0,active,46337.0,married,practical,badminton,23933.0,urban,no response
Y7dcow9w,42.0,active,40484.0,single,practical,,93333.0,urban,no response
rzzGu1al,28.0,active,59642.0,married,expensive,athletics,115160.0,urban,no response
0at5nE4l,50.0,cozily,61197.0,single,expensive,athletics,117431.0,rural,no response
d36LXwA1,27.0,healthy,20022.0,single,expensive,athletics,77348.0,urban,response
VsozHloy,34.0,active,84582.0,single,expensive,badminton,28611.0,urban,no response
CvFck5BY,38.0,cozily,44069.0,single,expensive,badminton,107938.0,rural,no response
w3v4Avl9,37.0,active,74633.0,single,practical,athletics,112705.0,urban,no response
S9yABF7q,32.0,cozily,52287.0,married,practical,,20524.0,urban,no response
Z5G3KnFd,33.0,healthy,98545.0,married,practical,badminton,41979.0,rural,no response
