,name,age,lifestyle,zip code,family status,car,sports,earnings,living area,label,response
101,vM2QcGim,61,healthy,85445,single,practical,soccer,86054,urban,response,1
102,vVxcKUEm,67,active,28692,single,practical,soccer,32560,rural,response,1
103,xPYI7zEg,16,active,76640,married,expensive,soccer,55524,urban,no response,0
104,Qwy8ZSi1,16,active,20610,married,practical,athletics,50492,urban,response,1
105,FvM7sRv5,20,active,56811,married,practical,badminton,20604,urban,response,1
106,niBIzqvb,33,healthy,61303,married,practical,athletics,47944,rural,no response,0
107,BpucccAj,27,cozily,79313,single,expensive,athletics,34995,rural,no response,0
108,hRp17vnb,24,healthy,77730,single,expensive,soccer,77670,urban,response,1
109,yj9EsZWj,69,healthy,37400,married,practical,soccer,92079,urban,response,1
110,ZGiDP0Er,30,cozily,53185,married,expensive,athletics,60548,urban,no response,0
111,5mqco3XF,27,active,76956,single,expensive,athletics,26328,rural,no response,0
112,dTHuA29C,49,active,58250,single,expensive,soccer,32693,rural,no response,0
113,Yjkl1Ty3,16,cozily,55530,married,practical,soccer,149335,rural,response,1
114,sLNsHHcT,43,cozily,63343,single,expensive,athletics,24688,rural,no response,0
115,kWInSae2,31,active,30377,married,expensive,athletics,99055,urban,no response,0
116,bNnPEISc,55,healthy,73877,single,expensive,athletics,125616,urban,no response,0
117,KCEpk8XI,57,cozily,10875,married,practical,badminton,146961,urban,response,1
118,dXabs1sQ,21,healthy,64553,single,practical,soccer,80457,urban,no response,0
119,RhNVROnz,30,cozily,79870,single,expensive,athletics,90866,urban,no response,0
120,h8JH7n9W,16,healthy,76571,married,practical,badminton,60632,rural,no response,0
121,Z8NeYAUr,35,healthy,35898,single,practical,soccer,141347,urban,response,1
122,JGE4W6aT,53,healthy,98897,single,practical,badminton,76635,rural,no response,0
123,hbI3Oz5G,38,healthy,65674,single,practical,soccer,113611,urban,no response,0
124,idWANv5b,47,active,88664,married,expensive,athletics,65625,urban,no response,0
125,MX2PmAg1,43,cozily,59070,married,expensive,unknown,141106,urban,response,1
126,olKl8ca1,23,active,47311,married,practical,athletics,40608,rural,no response,0
127,1d1QkXI8,36,cozily,53383,single,expensive,athletics,149371,rural,response,1
128,ZRjVdLr9,57,active,98446,married,expensive,athletics,125016,rural,response,1
129,nDVB82WA,34,active,82317,single,expensive,unknown,135749,rural,no response,0
130,ewIsUbDF,50,active,59902,single,expensive,unknown,144545,rural,response,1
131,LQ02Q640,28,cozily,80935,married,practical,soccer,109916,urban,response,1
132,npivuqjT,46,cozily,62104,married,practical,badminton,48690,rural,no response,0
133,Lim4wmC8,43,healthy,17441,married,practical,athletics,47162,rural,no response,0
134,FsdoBsTV,46,active,58215,married,practical,soccer,93354,urban,no response,0
135,QchrLC5q,25,active,97213,married,expensive,soccer,40076,rural,no response,0
136,tc6txQSQ,67,cozily,15370,single,expensive,unknown,124809,rural,response,1
137,RINZQ6DX,21,active,33231,married,practical,soccer,76876,urban,no response,0
138,3NquLfXN,61,active,99554,single,practical,badminton,65005,rural,response,1
139,g9IgbAjm,35,active,15002,married,practical,athletics,148310,urban,response,1
140,kt3pwk4q,56,active,27849,married,expensive,unknown,121091,rural,no response,0
141,3UVSoSIy,31,active,40257,single,practical,soccer,29692,rural,no response,0
142,j0eTu209,27,cozily,22132,married,expensive,unknown,146527,urban,response,1
143,1kLwPVOs,17,cozily,75587,single,expensive,soccer,124502,rural,no response,0
144,QnSTGKiN,24,healthy,93920,single,expensive,soccer,66142,rural,no response,0
145,0cphf9Vx,19,active,10246,single,expensive,soccer,73525,rural,response,1
146,1oupt5eN,37,healthy,88048,married,practical,athletics,72318,urban,no response,0
147,UOznhlU1,60,healthy,70658,married,expensive,unknown,120778,rural,response,1
148,8zYGk0Xn,62,active,64030,married,practical,soccer,77130,urban,no response,0
149,sDjL5PdL,59,cozily,91079,single,expensive,unknown,59670,rural,response,1
150,zZkiEtL6,46,healthy,64789,married,expensive,athletics,97758,rural,no response,0
151,Z3m2dTzd,35,cozily,55359,single,expensive,athletics,77189,urban,no response,0
152,jXSOGoJb,27,cozily,31777,single,expensive,unknown,29220,urban,no response,0
153,fzaohBZH,52,healthy,10685,married,expensive,soccer,130660,rural,response,1
154,7YP8avIy,44,active,11454,married,practical,soccer,108923,rural,response,1
155,RVmXL3Li,42,active,98352,married,practical,unknown,28956,rural,no response,0
156,4VTECUqg,36,cozily,43081,single,practical,athletics,30367,urban,no response,0
157,YVFAbqKe,66,healthy,53273,single,practical,unknown,32622,urban,response,1
158,COZcWwNq,41,healthy,87654,married,practical,unknown,64434,urban,no response,0
159,NLzuLxI0,17,healthy,16505,married,practical,badminton,60330,urban,no response,0
160,HpIbWYrE,43,cozily,95082,married,practical,athletics,38593,urban,no response,0
161,dqBrnKVb,49,active,56796,single,practical,soccer,102523,urban,no response,0
162,sZioyspX,30,cozily,43051,married,practical,athletics,46899,urban,no response,0
163,GgWTcEhn,17,active,37128,single,practical,athletics,72945,urban,response,1
164,eZHCAEVM,66,active,30986,married,practical,athletics,133074,urban,response,1
165,3Gnkm6ZO,24,healthy,41721,married,practical,athletics,108721,urban,no response,0
166,hqoByCLE,20,cozily,36773,married,expensive,athletics,84842,urban,no response,0
167,ASpRMxey,45,cozily,13705,married,expensive,athletics,91291,urban,response,1
168,TcqJOwK6,41,active,14651,married,expensive,soccer,56143,rural,response,1
169,K7GBlFO2,42,healthy,42214,single,expensive,athletics,29581,rural,no response,0
170,vBQ0wTRp,65,active,41279,single,practical,badminton,67765,rural,response,1
171,tMKisFg0,28,cozily,96857,married,expensive,soccer,101874,urban,no response,0
172,QkE1EXUx,39,cozily,51159,single,expensive,unknown,109136,urban,no response,0
173,l6rYtSOQ,19,healthy,99182,married,expensive,soccer,143546,urban,response,1
174,UuPOJRma,18,active,45527,single,expensive,soccer,149809,urban,response,1
175,Y8nigDHy,67,cozily,79635,single,practical,athletics,77583,urban,response,1
176,wKKJ0vIl,45,cozily,93331,married,expensive,badminton,84301,urban,no response,0
177,L2stypTa,64,cozily,43001,single,practical,athletics,60618,urban,no response,0
178,rM6f0Wvf,35,healthy,11940,married,expensive,soccer,125419,rural,response,1
179,QbIgdHhG,66,active,10591,single,expensive,badminton,28406,rural,response,1
180,Ed9DtElK,42,active,24430,married,practical,badminton,131904,urban,no response,0
181,i5nmAVj4,43,active,37243,married,practical,unknown,130405,urban,no response,0
182,arVgNNAW,54,healthy,77409,single,practical,athletics,20832,urban,no response,0
183,PjytxIgQ,20,cozily,60981,married,practical,badminton,45974,urban,no response,0
184,S2LHgJ62,21,cozily,61865,married,practical,soccer,83402,rural,no response,0
185,KPrrctk2,16,active,93100,married,practical,badminton,111256,urban,no response,0
186,d4UxrQhM,63,healthy,87215,single,practical,athletics,39121,urban,response,1
187,273ww5t0,32,active,53604,single,expensive,soccer,66720,urban,no response,0
188,cWHkNex7,45,active,93320,single,practical,soccer,96099,rural,no response,0
189,MiFCRpRJ,42,active,24618,single,expensive,soccer,43308,rural,no response,0
190,ekrlrahi,67,cozily,70173,married,expensive,unknown,114732,urban,response,1
191,enGjI27s,45,cozily,77954,single,practical,badminton,46615,rural,no response,0
192,iqX0zFPd,69,healthy,83269,single,expensive,athletics,87810,urban,response,1
193,5xQWP7v4,23,active,21580,married,practical,athletics,114741,rural,no response,0
194,Pnoj3Ps9,50,active,89503,married,practical,soccer,59293,rural,no response,0
195,i4UfC7mj,69,cozily,60351,married,expensive,athletics,92938,urban,response,1
196,A9BLlzmW,49,active,25102,married,practical,soccer,121728,urban,no response,0
197,riE0925e,23,healthy,54798,single,practical,unknown,88450,rural,no response,0
198,fWCXldV0,61,healthy,42208,single,expensive,badminton,103518,rural,response,1
199,6ZSUMdhS,42,active,19799,married,practical,badminton,70656,rural,no response,0
200,JeCKj4zK,22,healthy,92513,married,practical,athletics,107623,urban,no response,0
201,dKy7yAsZ,40,healthy,34336,single,expensive,soccer,28927,urban,no response,0
202,1is4KCIA,56,active,62158,married,expensive,unknown,135959,rural,response,1
203,FuVSitCY,30,healthy,19728,married,expensive,athletics,57473,rural,no response,0
204,YU3LDay5,31,active,21515,single,expensive,athletics,69189,urban,no response,0
205,30LBe4rl,30,active,25866,married,expensive,athletics,100624,urban,no response,0
206,KfNlcrW4,37,active,16059,married,expensive,athletics,99343,urban,no response,0
207,nJx4mBVo,40,cozily,81643,married,expensive,unknown,132506,rural,no response,0
208,S5FPwMl5,30,active,58190,married,practical,soccer,120294,urban,no response,0
209,sQhM8WQT,61,healthy,25739,single,practical,soccer,43450,urban,response,1
210,Ao0RI5TV,27,healthy,59802,single,expensive,athletics,77260,urban,no response,0
211,vq8zpuhr,24,active,41036,married,expensive,badminton,130994,rural,no response,0
212,0FDiWKNV,64,cozily,90988,single,expensive,soccer,33649,rural,response,1
213,h1MuNe09,43,cozily,36818,married,expensive,badminton,89340,rural,no response,0
214,a5N07ozO,37,healthy,41663,married,expensive,athletics,56128,urban,no response,0
215,GBU3qEZe,65,cozily,30199,single,expensive,athletics,47182,urban,response,1
216,1tJFwkkI,57,cozily,37416,single,expensive,unknown,140468,urban,response,1
217,1n1dISrP,65,active,25706,married,practical,athletics,62001,urban,response,1
218,QZA5yqEX,47,active,47944,married,expensive,soccer,29867,rural,no response,0
219,UnRW1eIc,48,active,62741,married,practical,unknown,87365,urban,no response,0
220,E0f88MUz,49,healthy,27502,married,practical,athletics,30777,urban,no response,0
221,HppKWUf8,49,cozily,94791,married,expensive,badminton,54975,urban,no response,0
222,34vN3ogk,61,active,45774,single,expensive,badminton,30018,urban,response,1
223,qOaolruf,35,cozily,82423,single,practical,soccer,66330,urban,no response,0
224,Tb7Juu5A,22,active,95873,married,practical,badminton,91423,urban,no response,0
225,9zh6hajd,59,healthy,74243,single,expensive,soccer,113662,urban,response,1
226,WEAsLDKb,17,active,60862,married,expensive,athletics,149552,rural,response,1
227,KX5OMxwM,55,active,53199,single,practical,soccer,67874,urban,no response,0
228,MJQLSCj4,45,healthy,61952,single,practical,badminton,71735,urban,response,1
229,ZAkPUI55,16,active,15470,single,expensive,athletics,20508,rural,no response,0
230,cOezXCWx,54,healthy,20509,married,expensive,badminton,124165,rural,no response,0
231,SlBQ2PyC,38,healthy,92385,single,expensive,athletics,101225,rural,no response,0
232,R3JACCjb,28,healthy,25374,married,practical,soccer,125760,rural,no response,0
233,NUHR79QK,17,healthy,70269,single,practical,badminton,59356,rural,no response,0
234,uuX0knpz,40,active,54220,married,practical,unknown,144941,rural,response,1
235,zbJSIinX,36,healthy,87994,single,practical,athletics,67654,urban,no response,0
236,yWPGGGmg,51,cozily,90757,married,expensive,soccer,41504,urban,no response,0
237,kCnjP7QI,41,cozily,75848,married,expensive,unknown,136839,urban,no response,0
238,pkm22x6d,28,active,32727,married,practical,badminton,142791,urban,response,1
239,5D5FPKjN,39,healthy,66666,married,practical,soccer,60849,urban,no response,0
240,yo233Tet,54,healthy,20172,single,practical,athletics,74653,urban,no response,0
241,Fpmu5QRd,42,active,35598,married,expensive,unknown,21952,urban,no response,0
242,Og1QZZtA,54,healthy,34543,single,practical,unknown,74871,urban,no response,0
243,yHOtHkPE,24,cozily,23000,single,practical,badminton,127607,rural,no response,0
244,aNx1urLy,43,cozily,67960,single,expensive,athletics,123523,rural,no response,0
245,AlWLZNNy,24,healthy,45640,single,expensive,soccer,127923,rural,no response,0
246,Titkywlw,22,cozily,92131,married,expensive,soccer,131460,rural,no response,0
247,AqiSVf3M,29,cozily,44907,married,practical,soccer,58028,urban,no response,0
248,JAsarCfy,17,healthy,16494,married,expensive,athletics,124011,urban,no response,0
249,F92ipBIE,40,healthy,66449,single,practical,athletics,147350,rural,response,1
250,tb3MsI5q,15,healthy,29734,married,practical,athletics,44627,rural,no response,0
251,CvEeTBOy,15,healthy,40126,married,practical,unknown,131415,urban,no response,0
252,EmyTRpUJ,20,cozily,79890,married,expensive,athletics,59059,urban,no response,0
253,JbOv5RpQ,51,active,88540,married,expensive,soccer,57813,rural,no response,0
254,sLS3LP0x,24,active,98162,single,practical,soccer,47708,urban,no response,0
255,oahHP9M0,24,cozily,24008,single,practical,athletics,80559,urban,no response,0
256,UMOeUxHp,17,healthy,34082,single,practical,soccer,117938,urban,no response,0
257,dl9xGNMt,34,cozily,90268,married,expensive,badminton,119518,urban,no response,0
258,RFH5myw0,42,active,69390,married,practical,unknown,69135,rural,no response,0
259,zmFQLxt2,16,active,35920,married,expensive,soccer,100588,rural,no response,0
260,TbLWBmUU,69,active,13286,married,expensive,soccer,42127,rural,response,1
261,J4y8A4xt,51,cozily,76872,single,practical,badminton,125140,urban,no response,0
262,E05FuJCz,54,active,78257,single,expensive,badminton,68121,urban,no response,0
263,twEwPLux,22,active,43112,single,practical,badminton,31347,rural,no response,0
264,02O08suQ,63,healthy,90052,married,practical,badminton,27722,urban,no response,0
265,xFuuZDbm,23,healthy,79239,married,practical,unknown,58863,urban,no response,0
266,GLzGXlZl,37,cozily,89682,single,expensive,unknown,43391,rural,no response,0
267,nDOtebAy,60,cozily,39148,married,practical,unknown,83967,rural,response,1
268,BigiaVHU,17,cozily,48328,married,expensive,athletics,138623,rural,no response,0
269,OJIbMpif,15,active,47947,married,expensive,athletics,78094,urban,no response,0
270,xAtlgQgp,63,healthy,77613,single,practical,badminton,125353,rural,response,1
271,UARevKVC,63,cozily,11645,married,expensive,athletics,109053,urban,response,1
272,Yl37fXla,40,cozily,99484,married,practical,athletics,33965,rural,no response,0
273,mpvRe2gB,62,active,57302,married,practical,unknown,96719,urban,no response,0
274,rTQRDVHV,53,cozily,54001,married,expensive,athletics,42563,urban,no response,0
275,EFW2wPUd,23,active,46091,single,expensive,badminton,87930,urban,no response,0
276,blgRsgOo,44,healthy,19235,married,expensive,athletics,34438,urban,no response,0
277,tiGUCYEZ,56,active,53719,married,expensive,athletics,130857,urban,response,1
278,6cIUttLG,28,cozily,87261,married,expensive,unknown,130624,urban,no response,0
279,dOuu6wHk,17,cozily,75701,married,expensive,soccer,81520,rural,no response,0
280,mMtbaGOC,28,active,18022,married,practical,badminton,27646,urban,no response,0
281,NBUJJYLG,43,active,77257,married,practical,athletics,140901,urban,response,1
282,Q7FOWtbx,69,healthy,30748,single,expensive,athletics,37805,urban,response,1
283,xHL28m77,59,healthy,55284,married,practical,unknown,147055,urban,response,1
284,SnQ3Wx7a,43,healthy,88980,single,practical,soccer,75037,urban,no response,0
285,occBvfs4,34,cozily,11018,married,practical,athletics,29496,urban,response,1
286,knDJdmUP,31,cozily,76266,single,practical,soccer,64364,urban,no response,0
287,uj9WgGxI,36,cozily,27823,single,practical,soccer,111556,rural,no response,0
288,XGJaTNZu,40,healthy,94808,married,practical,athletics,122696,urban,no response,0
289,XlZIKH9H,56,healthy,76681,single,practical,badminton,60422,urban,response,1
290,be4VJqF2,37,healthy,65815,married,expensive,unknown,37982,urban,no response,0
291,2VK7kRiZ,32,healthy,21949,single,practical,athletics,49800,rural,no response,0
292,GjMgu5Nj,45,healthy,87672,married,practical,soccer,108270,urban,no response,0
293,i4CT2swV,69,healthy,71283,single,practical,badminton,92094,rural,response,1
294,ujkwEAHy,37,active,36068,single,expensive,unknown,85153,urban,no response,0
295,vnxLwDyy,22,healthy,75929,married,expensive,athletics,135750,urban,no response,0
296,PPEpH5d4,37,active,15274,married,practical,soccer,92958,urban,no response,0
297,PYzouZPE,22,healthy,66608,married,expensive,soccer,67984,urban,no response,0
298,cvo1raHz,45,cozily,11096,married,expensive,soccer,29223,urban,response,1
299,snA828ba,39,active,43521,single,expensive,badminton,95979,rural,no response,0
300,W6eXrmEl,25,active,73679,married,expensive,unknown,95463,urban,no response,0
301,K43wSojm,36,healthy,68120,married,practical,badminton,85490,rural,no response,0
302,X9LfR5F1,46,healthy,74775,single,practical,soccer,81395,urban,no response,0
303,pE3VYMQi,20,healthy,55663,married,practical,unknown,57551,urban,no response,0
304,JHXleQhH,30,cozily,48487,married,expensive,athletics,22877,urban,no response,0
305,s45lcuGD,50,cozily,60386,single,practical,athletics,129856,urban,no response,0
306,8ZUbloFH,22,active,82484,single,practical,badminton,84565,urban,no response,0
307,GwtXk5RP,46,healthy,14393,married,expensive,badminton,94171,urban,no response,0
308,CozzBkkQ,38,cozily,30926,single,practical,soccer,103864,urban,no response,0
309,lnb7eVZM,19,cozily,27757,married,practical,badminton,51171,rural,no response,0
310,UZxSn7lh,69,healthy,45294,married,practical,badminton,115754,urban,response,1
311,KhcC14sY,41,active,60815,single,practical,soccer,63810,urban,no response,0
312,GJe5pGDD,53,healthy,69927,single,expensive,athletics,21814,urban,no response,0
313,JkIwiyCM,24,active,60877,single,expensive,badminton,143486,urban,response,1
314,vZcTa19Z,60,active,27174,married,practical,badminton,137080,urban,no response,0
315,JF84BXYn,16,active,36209,married,practical,soccer,129086,rural,no response,0
316,HRaQBkKI,55,active,24677,married,expensive,athletics,47464,rural,no response,0
317,r4VY4mFV,58,cozily,33500,single,practical,unknown,23168,rural,response,1
318,DhYiCMRg,62,cozily,35069,married,practical,badminton,32535,urban,response,1
319,AeyoWDEN,69,healthy,37703,married,practical,unknown,70106,rural,response,1
320,YbuthpjR,17,healthy,55945,single,expensive,badminton,129216,urban,no response,0
321,aJKK6tim,69,healthy,60497,single,expensive,athletics,124990,urban,response,1
322,N0eNrPgP,50,active,68326,single,expensive,soccer,33684,urban,no response,0
323,qGFrHmtT,49,active,92896,married,practical,athletics,55276,urban,no response,0
324,XWHnkyL4,59,active,59634,single,expensive,badminton,56872,urban,response,1
325,a5k7VN8P,47,cozily,84952,single,expensive,athletics,99958,urban,no response,0
326,Jbyz0ICI,27,active,73045,married,practical,athletics,138876,urban,no response,0
327,ypzCl2mi,39,active,38488,single,practical,badminton,131862,rural,no response,0
328,L636oyq9,66,cozily,37568,married,practical,athletics,35934,urban,response,1
329,Gq52Yb0I,31,active,62677,married,practical,athletics,134906,urban,no response,0
330,2f3zn2xf,49,cozily,39478,married,expensive,badminton,90815,urban,no response,0
331,CEZTFJPe,21,cozily,30242,single,expensive,athletics,54028,urban,no response,0
332,EaUU1zeW,45,active,46337,married,practical,badminton,23933,urban,no response,0
333,Y7dcow9w,42,active,40484,single,practical,unknown,93333,urban,no response,0
334,rzzGu1al,28,active,59642,married,expensive,athletics,115160,urban,no response,0
335,0at5nE4l,50,cozily,61197,single,expensive,athletics,117431,rural,no response,0
336,d36LXwA1,27,healthy,20022,single,expensive,athletics,77348,urban,response,1
337,VsozHloy,34,active,84582,single,expensive,badminton,28611,urban,no response,0
338,CvFck5BY,38,cozily,44069,single,expensive,badminton,107938,rural,no response,0
339,w3v4Avl9,37,active,74633,single,practical,athletics,112705,urban,no response,0
340,S9yABF7q,32,cozily,52287,married,practical,unknown,20524,urban,no response,0
341,Z5G3KnFd,33,healthy,98545,married,practical,badminton,41979,rural,no response,0
342,nK47I5Cf,41,active,95374,married,practical,soccer,130657,urban,no response,0
343,ie6NaRzR,49,healthy,73500,single,practical,athletics,49908,urban,no response,0
344,FxJTI71Z,56,healthy,51813,single,practical,soccer,67203,urban,response,1
345,pX0YDFMv,23,cozily,81431,married,practical,athletics,113476,rural,no response,0
346,UMHsi5kH,41,cozily,96819,single,expensive,unknown,108744,urban,no response,0
347,buBzNAQy,60,healthy,10334,married,practical,badminton,134226,urban,no response,0
348,4NfhoY85,19,active,10427,single,practical,soccer,89149,urban,response,1
349,bMvYVkHK,49,active,37912,single,expensive,soccer,109551,urban,no response,0
350,MMtMgZyD,17,healthy,36163,married,expensive,badminton,26153,urban,no response,0
351,KL10LyY9,42,cozily,37880,married,expensive,badminton,96275,rural,no response,0
352,EHsXtiP2,22,cozily,30431,married,practical,unknown,124805,urban,no response,0
353,z1vnhMbe,40,active,98889,married,expensive,athletics,145589,urban,response,1
354,maHQ1DAW,45,healthy,33103,single,expensive,athletics,100638,urban,no response,0
355,RERVn4QA,31,healthy,28734,single,practical,athletics,34896,urban,no response,0
